epoch,train_loss,val_loss,val_acc,lr
1,3.872590761239033,3.6231278144836425,0.15,0.0009997532801828658
2,3.3415500003727754,3.3964939506530762,0.1796,0.0009990133642141358
3,2.8588765625260835,2.8086280605316163,0.2846,0.00099778098230154
4,2.5038160958521045,2.538472344589233,0.3384,0.000996057350657239
5,2.2574523364716446,2.5754121070861817,0.3468,0.0009938441702975688
6,2.061100807285037,2.320043267250061,0.3818,0.0009911436253643444
7,1.9069076012342403,1.9666192497253419,0.4622,0.0009879583809693736
8,1.7920011502725106,1.925398010635376,0.4834,0.0009842915805643154
9,1.6985984551600921,1.8363722371101379,0.4924,0.0009801468428384714
10,1.6109375824615826,1.7289051250457763,0.515,0.0009755282581475767
11,1.5420676687164525,1.653542768096924,0.5392,0.0009704403844771127
12,1.4754111824551879,1.7833163311004638,0.5132,0.0009648882429441257
13,1.4328052956833799,1.5352965072631837,0.57,0.0009588773128419905
14,1.3765954587534281,1.5468313858032225,0.5746,0.0009524135262330098
15,1.3401546814502814,1.5078380256652832,0.5802,0.0009455032620941839
16,1.3086093801718492,1.422360698699951,0.6072,0.0009381533400219318
17,1.2731362197473857,1.5504153957366944,0.5774,0.0009303710135019719
18,1.2343401294148546,1.703435008430481,0.549,0.0009221639627510076
19,1.2095631287987756,1.397732458305359,0.606,0.000913540287137281
20,1.1815905153241932,1.4207590301513673,0.6108,0.0009045084971874739
21,1.1604017328332972,1.4179230892181396,0.6014,0.0008950775061878452
22,1.1340238638752886,1.507000100326538,0.5908,0.0008852566213878947
23,1.1073180523693051,1.2972245658874513,0.632,0.0008750555348152298
24,1.0794082912284764,1.3789107934951783,0.6158,0.0008644843137107057
25,1.060306324918046,1.2760970008850097,0.6434,0.0008535533905932737
26,1.044436086616625,1.3376932842254639,0.6308,0.0008422735529643444
27,1.0168131583096973,1.3295448091506958,0.6294,0.0008306559326618259
28,0.9991867000560815,1.3653760410308837,0.6322,0.0008187119948743449
29,0.9672588916585656,1.238205754852295,0.653,0.0008064535268264883
30,0.9598988063654669,1.2621769355773926,0.6554,0.0007938926261462367
31,0.940655055888358,1.2346104654312133,0.65,0.0007810416889260654
32,0.9343802434766394,1.3007482040405274,0.6384,0.0007679133974894983
