epoch,train_loss,val_loss,val_acc,lr
1,3.8967236236289695,3.4599335525512696,0.1628,0.1
2,3.21504810732654,3.0201415256500246,0.2444,0.1
3,2.6381272284733264,2.582708720779419,0.339,0.1
4,2.2229703464399377,2.2367528762817384,0.4084,0.1
5,1.944595922771682,2.0879825508117675,0.443,0.1
6,1.7648394617260013,1.9138394680023194,0.4956,0.1
7,1.6142593978816628,1.8039192768096923,0.5122,0.1
8,1.5245032330863497,1.6610688850402833,0.5458,0.1
9,1.4451895106551993,1.860039796447754,0.508,0.1
10,1.3839952877783708,1.675400036430359,0.54,0.010000000000000002
11,0.9704497835235378,1.0677882211685181,0.6922,0.010000000000000002
12,0.8265756168256798,1.0220037441253662,0.7072,0.010000000000000002
13,0.7616556927009865,0.9998487413406372,0.7098,0.010000000000000002
14,0.7058725461491153,1.0025263172149659,0.7158,0.010000000000000002
15,0.6589736297429457,0.9783250694274902,0.7192,0.010000000000000002
16,0.6208049288162818,0.9838789735794068,0.7192,0.010000000000000002
17,0.5787335550173734,0.997650318145752,0.718,0.010000000000000002
18,0.5383013700827574,0.979037539100647,0.7192,0.010000000000000002
19,0.5073521804605794,0.9843316566467285,0.7196,0.010000000000000002
20,0.4672880487734096,0.9833046127319336,0.7214,0.0010000000000000002
21,0.37949417187617374,0.9246614242553711,0.7378,0.0010000000000000002
22,0.35506360954538707,0.9169037103652954,0.7392,0.0010000000000000002
23,0.3390273787187375,0.9170979486465454,0.7414,0.0010000000000000002
24,0.3324686234917736,0.9135542024612426,0.7378,0.0010000000000000002
25,0.3221317092407803,0.9131447933197021,0.7414,0.0010000000000000002
26,0.3140442460945189,0.9162608636856079,0.7408,0.0010000000000000002
27,0.309229703922557,0.9150314722061157,0.7428,0.0010000000000000002
28,0.3007657548725775,0.9165991250991822,0.7408,0.0010000000000000002
29,0.2952447586674296,0.9158763368606567,0.7394,0.0010000000000000002
30,0.29639196336439194,0.9150143995285034,0.7422,0.00010000000000000003
31,0.2796649043461536,0.917071872138977,0.7376,0.00010000000000000003
32,0.2823608833500463,0.9168551105499267,0.7394,0.00010000000000000003
33,0.2780885412397548,0.9151691902160645,0.7408,0.00010000000000000003
34,0.2773314854952684,0.9137058111190796,0.7388,0.00010000000000000003
35,0.27782037998536374,0.915549026298523,0.7402,0.00010000000000000003
36,0.27631414603134163,0.9145126876831055,0.7414,0.00010000000000000003
37,0.27662500981082266,0.91202795753479,0.7428,0.00010000000000000003
38,0.2751666453913746,0.9162461496353149,0.7414,0.00010000000000000003
39,0.27653498956111083,0.9135542060852051,0.7426,0.00010000000000000003
40,0.27901680801498924,0.9170139122009278,0.7408,1.0000000000000004e-05
41,0.27526123363238114,0.9144324487686157,0.743,1.0000000000000004e-05
